(-0.35092040930711155+0j),0.35092040930711155j,-0.9364052895684268j,(-0.9364052895684268+0j)
(-0.7709453778758275+0j),0.7709453778758275j,-0.6369012673341904j,(-0.6369012673341904+0j)
(-0.9984858482598349+0j),0.9984858482598349j,-0.05500918854916913j,(-0.05500918854916913+0j)
(-0.9952548925043968+0j),-0.9952548925043968j,0.09730210144730451j,(-0.09730210144730451+0j)
(-0.759341496194759+0j),0.759341496194759j,-0.650692317579288j,(-0.650692317579288+0j)
(-0.857323785156625+0j),0.857323785156625j,-0.5147775513799308j,(-0.5147775513799308+0j)
(-0.16783609530032922+0j),0.16783609530032922j,-0.9858149142279898j,(-0.9858149142279898+0j)
(-0.38916955431816297+0j),0.38916955431816297j,-0.9211661402764446j,(-0.9211661402764446+0j)
(-0.9989902129686921+0j),0.9989902129686921j,-0.04492832506078498j,(-0.04492832506078498+0j)
(-0.9930398713551407+0j),-0.9930398713551407j,0.11777866487172364j,(-0.11777866487172364+0j)
(-0.9435434796506057+0j),-0.9435434796506057j,0.3312487011428529j,(-0.3312487011428529+0j)
(-0.9139119266526755+0j),-0.9139119266526755j,0.4059125402374197j,(-0.4059125402374197+0j)
(-0.9936570892997493+0j),-0.9936570892997493j,0.11245260728124695j,(-0.11245260728124695+0j)
(-0.9871979174328188+0j),-0.9871979174328188j,0.15950006838965797j,(-0.15950006838965797+0j)
(-0.9918260400263565+0j),0.9918260400263565j,-0.12759743855437075j,(-0.12759743855437075+0j)
(-0.9994373514547487+0j),0.9994373514547487j,-0.033540729227574236j,(-0.033540729227574236+0j)
(-0.748347639264204+0j),0.748347639264204j,-0.6633067245307355j,(-0.6633067245307355+0j)
(-0.8297639388075616+0j),0.8297639388075616j,-0.5581145096255438j,(-0.5581145096255438+0j)
(-0.19796042968540126+0j),0.19796042968540126j,-0.9802100123334649j,(-0.9802100123334649+0j)
(-0.40034927789278113+0j),0.40034927789278113j,-0.9163626223775874j,(-0.9163626223775874+0j)
(-0.8448324576482767+0j),0.8448324576482767j,-0.5350309509775792j,(-0.5350309509775792+0j)
(-0.8827515817362717+0j),0.8827515817362717j,-0.46984002058372004j,(-0.46984002058372004+0j)
(-0.7237461190147143+0j),0.7237461190147143j,-0.6900663411666585j,(-0.6900663411666585+0j)
(-0.756799427554427+0j),0.756799427554427j,-0.6536471727570553j,(-0.6536471727570553+0j)
(-0.20541697819174412+0j),0.20541697819174412j,-0.9786745450202393j,(-0.9786745450202393+0j)
(-0.3932053594687307+0j),0.3932053594687307j,-0.9194506758304473j,(-0.9194506758304473+0j)
(-0.5143010695914608+0j),0.5143010695914608j,-0.8576097071611768j,(-0.8576097071611768+0j)
(-0.5423963372746327+0j),0.5423963372746327j,-0.8401227370515948j,(-0.8401227370515948+0j)
(-0.3812428791724954+0j),0.3812428791724954j,-0.9244749142514718j,(-0.9244749142514718+0j)
(-0.42199477729262536+0j),0.42199477729262536j,-0.9065982616008855j,(-0.9065982616008855+0j)
(-0.13544034460501747+0j),0.13544034460501747j,-0.9907855030496128j,(-0.9907855030496128+0j)
(-0.19366811079290494+0j),0.19366811079290494j,-0.9810671041584808j,(-0.9810671041584808+0j)
