(-0.8637442123418547+0j),-0.8637442123418547j,0.5039304869185326j,(-0.5039304869185326+0j)
(-0.6646989691890884+0j),-0.6646989691890884j,0.7471112904775054j,(-0.7471112904775054+0j)
(-0.4175823347759864+0j),0.4175823347759864j,-0.9086390887932548j,(-0.9086390887932548+0j)
(-0.4920551880951346+0j),0.4920551880951346j,-0.8705640079101948j,(-0.8705640079101948+0j)
(-0.7594747631966297+0j),0.7594747631966297j,-0.6505367661150472j,(-0.6505367661150472+0j)
(-0.8498688279989045+0j),0.8498688279989045j,-0.5269942838359527j,(-0.5269942838359527+0j)
(-0.9259210962305241+0j),0.9259210962305241j,-0.37771698870353265j,(-0.37771698870353265+0j)
(-0.9296766222614502+0j),0.9296766222614502j,-0.3683766795286326j,(-0.3683766795286326+0j)
(-0.7926625969150914+0j),-0.7926625969150914j,0.6096605674076544j,(-0.6096605674076544+0j)
(-0.47508122828674515+0j),-0.47508122828674515j,0.8799419449768021j,(-0.8799419449768021+0j)
(-0.9728584361082765+0j),0.9728584361082765j,-0.23140108749303426j,(-0.23140108749303426+0j)
(-0.9831948895659756+0j),0.9831948895659756j,-0.18255905655800558j,(-0.18255905655800558+0j)
(-0.999931570696832+0j),0.999931570696832j,-0.011698458179028053j,(-0.011698458179028053+0j)
(-0.9985303748369748+0j),-0.9985303748369748j,0.05419493083242j,(-0.05419493083242+0j)
(-0.9922561715100453+0j),-0.9922561715100453j,0.12420825294732978j,(-0.12420825294732978+0j)
(-0.9917221672674694+0j),-0.9917221672674694j,0.12840227003567067j,(-0.12840227003567067+0j)
(-0.06337530638232707+0j),0.06337530638232707j,-0.9979897647475883j,(-0.9979897647475883+0j)
(-0.1763783972076074+0j),0.1763783972076074j,-0.9843224375165263j,(-0.9843224375165263+0j)
(-0.5485934610404521+0j),0.5485934610404521j,-0.8360892383613474j,(-0.8360892383613474+0j)
(-0.5919645998631308+0j),0.5919645998631308j,-0.8059639647706859j,(-0.8059639647706859+0j)
(-0.8506733156015138+0j),0.8506733156015138j,-0.5256946928812651j,(-0.5256946928812651+0j)
(-0.9784024823115569+0j),0.9784024823115569j,-0.20670893209192456j,(-0.20670893209192456+0j)
(-0.9430537010793218+0j),-0.9430537010793218j,0.3326405220062542j,(-0.3326405220062542+0j)
(-0.930894683611219+0j),-0.930894683611219j,0.3652876784458639j,(-0.3652876784458639+0j)
(-0.11337428890783899+0j),0.11337428890783899j,-0.9935523492069464j,(-0.9935523492069464+0j)
(-0.2443518122952358+0j),0.2443518122952358j,-0.9696866462048626j,(-0.9696866462048626+0j)
(-0.6828205895106223+0j),-0.6828205895106223j,0.7305860952279111j,(-0.7305860952279111+0j)
(-0.5891470221647401+0j),-0.5891470221647401j,0.8080258574293395j,(-0.8080258574293395+0j)
(-0.3248796473253592+0j),-0.3248796473253592j,0.9457553672878365j,(-0.9457553672878365+0j)
