(-0.7558922531472332+0j),0.7558922531472332j,-0.654696037586909j,(-0.654696037586909+0j)
(-0.8476874347964253+0j),0.8476874347964253j,-0.5304960064771992j,(-0.5304960064771992+0j)
(-0.9771927586148784+0j),0.9771927586148784j,-0.21235421472305227j,(-0.21235421472305227+0j)
(-0.9834027795883478+0j),0.9834027795883478j,-0.1814358649713763j,(-0.1814358649713763+0j)
(-0.9999878365517151+0j),-0.9999878365517151j,0.004932215386675726j,(-0.004932215386675726+0j)
(-0.9892781756964264+0j),-0.9892781756964264j,0.14604345617229994j,(-0.14604345617229994+0j)
(-0.9210657170914784+0j),-0.9210657170914784j,0.3894071709647378j,(-0.3894071709647378+0j)
(-0.912973097432405+0j),-0.912973097432405j,0.4080197585469122j,(-0.4080197585469122+0j)
(-0.801409238699497+0j),0.801409238699497j,-0.5981164034927421j,(-0.5981164034927421+0j)
(-0.8865783685287152+0j),0.8865783685287152j,-0.46257842195346915j,(-0.46257842195346915+0j)
(-0.6979188887067138+0j),-0.6979188887067138j,0.7161768111202609j,(-0.7161768111202609+0j)
(-0.5661351510363649+0j),-0.5661351510363649j,0.8243124351609847j,(-0.8243124351609847+0j)
(-0.019195328452141978+0j),0.019195328452141978j,-0.9998157527092753j,(-0.9998157527092753+0j)
(-0.21231574600063738+0j),0.21231574600063738j,-0.9772011174779698j,(-0.9772011174779698+0j)
(-0.37203365134230626+0j),0.37203365134230626j,-0.9282192425655221j,(-0.9282192425655221+0j)
(-0.3802135778767235+0j),0.3802135778767235j,-0.9248987161836593j,(-0.9248987161836593+0j)
(-0.9469925277072716+0j),0.9469925277072716j,-0.32125558744805177j,(-0.32125558744805177+0j)
(-0.9568195160791155+0j),0.9568195160791155j,-0.2906826683002057j,(-0.2906826683002057+0j)
(-0.9880259234356655+0j),0.9880259234356655j,-0.15428796005878292j,(-0.15428796005878292+0j)
(-0.99144288070917+0j),0.99144288070917j,-0.13054123597968098j,(-0.13054123597968098+0j)
(-0.9890219381923435+0j),-0.9890219381923435j,0.14776875777464057j,(-0.14776875777464057+0j)
(-0.6350967077485202+0j),-0.6350967077485202j,0.7724326325363208j,(-0.7724326325363208+0j)
(-0.6457965900802953+0j),0.6457965900802953j,-0.7635095050100315j,(-0.7635095050100315+0j)
(-0.6718140017233757+0j),0.6718140017233757j,-0.7407198843614394j,(-0.7407198843614394+0j)
(-0.9513820771089926+0j),0.9513820771089926j,-0.30801321944971605j,(-0.30801321944971605+0j)
(-0.9626068938571294+0j),0.9626068938571294j,-0.27090213712469974j,(-0.27090213712469974+0j)
(-0.8426194218253918+0j),0.8426194218253918j,-0.5385095263434458j,(-0.5385095263434458+0j)
(-0.8657051534599066+0j),0.8657051534599066j,-0.5005542800465895j,(-0.5005542800465895+0j)
(-0.9075315639001257+0j),0.9075315639001257j,-0.41998388126806974j,(-0.41998388126806974+0j)
(-0.9163921326761827+0j),0.9163921326761827j,-0.4002817247504532j,(-0.4002817247504532+0j)
(-0.9237314427682272+0j),0.9237314427682272j,-0.3830407571542869j,(-0.3830407571542869+0j)
(-0.924119972450247+0j),0.924119972450247j,-0.3821024424399231j,(-0.3821024424399231+0j)
