(-0.9998465458731025+0j),0.9998465458731025j,-0.017518125060236176j,(-0.017518125060236176+0j)
(-0.9689492519724098+0j),-0.9689492519724098j,0.24725967544690255j,(-0.24725967544690255+0j)
(-0.2806138369416984+0j),0.2806138369416984j,-0.9598207512430943j,(-0.9598207512430943+0j)
(-0.5367269615509787+0j),0.5367269615509787j,-0.8437559888642298j,(-0.8437559888642298+0j)
(-0.9600052525755677+0j),-0.9600052525755677j,0.2799819905410358j,(-0.2799819905410358+0j)
(-0.890107697126435+0j),-0.890107697126435j,0.4557502468636465j,(-0.4557502468636465+0j)
(-0.9961397981237696+0j),0.9961397981237696j,-0.08778099221321026j,(-0.08778099221321026+0j)
(-0.999977660151352+0j),-0.999977660151352j,0.006684250012326318j,(-0.006684250012326318+0j)
(-0.29583975993263295+0j),0.29583975993263295j,-0.9552375811508894j,(-0.9552375811508894+0j)
(-0.5441209691333895+0j),0.5441209691333895j,-0.8390067764621102j,(-0.8390067764621102+0j)
(-0.7537552908959363+0j),0.7537552908959363j,-0.6571552034689998j,(-0.6571552034689998+0j)
(-0.8026756414454234+0j),0.8026756414454234j,-0.5964158068245496j,(-0.5964158068245496+0j)
(-0.5304292862873234+0j),0.5304292862873234j,-0.8477291856770773j,(-0.8477291856770773+0j)
(-0.5918057922460814+0j),0.5918057922460814j,-0.8060805817435301j,(-0.8060805817435301+0j)
(-0.16460418969362578+0j),0.16460418969362578j,-0.9863597014960135j,(-0.9863597014960135+0j)
(-0.3075425325364798+0j),0.3075425325364798j,-0.9515343349985058j,(-0.9515343349985058+0j)
(-0.9501682086405053+0j),-0.9501682086405053j,0.31173767062851593j,(-0.31173767062851593+0j)
(-0.9042580837040589+0j),-0.9042580837040589j,0.42698632068939113j,(-0.42698632068939113+0j)
(-0.997075632775683+0j),0.997075632775683j,-0.07642108691304601j,(-0.07642108691304601+0j)
(-0.9998363459047129+0j),-0.9998363459047129j,0.018090920593258158j,(-0.018090920593258158+0j)
(-0.8717718490582872+0j),-0.8717718490582872j,0.4899120769990213j,(-0.4899120769990213+0j)
(-0.8555394067910597+0j),-0.8555394067910597j,0.5177376975144865j,(-0.5177376975144865+0j)
(-0.9605782511779386+0j),-0.9605782511779386j,0.2780097540805592j,(-0.2780097540805592+0j)
(-0.9453520428941855+0j),-0.9453520428941855j,0.32605139931579824j,(-0.32605139931579824+0j)
(-0.9974462525203696+0j),0.9974462525203696j,-0.07142109865488806j,(-0.07142109865488806+0j)
(-0.9998275750171206+0j),-0.9998275750171206j,0.01856933588969321j,(-0.01856933588969321+0j)
(-0.9960847987259884+0j),-0.9960847987259884j,0.08840290576110725j,(-0.08840290576110725+0j)
(-0.9942721577932053+0j),-0.9942721577932053j,0.1068778566272905j,(-0.1068778566272905+0j)
(-0.9999104061112823+0j),-0.9999104061112823j,0.013385804061410033j,(-0.013385804061410033+0j)
(-0.9994213044544642+0j),-0.9994213044544642j,0.03401552884400674j,(-0.03401552884400674+0j)
(-0.9937668697178628+0j),0.9937668697178628j,-0.11147828780152977j,(-0.11147828780152977+0j)
(-0.9975114490798811+0j),0.9975114490798811j,-0.07050467328167594j,(-0.07050467328167594+0j)
(-0.3123582578585671+0j),0.3123582578585671j,-0.9499643776203196j,(-0.9499643776203196+0j)
(-0.5516158003327685+0j),0.5516158003327685j,-0.8340983208370817j,(-0.8340983208370817+0j)
(-0.744129824123717+0j),0.744129824123717j,-0.6680350326514367j,(-0.6680350326514367+0j)
(-0.7856443558094693+0j),0.7856443558094693j,-0.6186783867121303j,(-0.6186783867121303+0j)
(-0.5387514744345865+0j),0.5387514744345865j,-0.8424647463215057j,(-0.8424647463215057+0j)
(-0.5975254842521202+0j),0.5975254842521202j,-0.8018499209136767j,(-0.8018499209136767+0j)
(-0.20539845709820373+0j),0.20539845709820373j,-0.9786784322859463j,(-0.9786784322859463+0j)
(-0.32180255193349055+0j),0.32180255193349055j,-0.9468068005507212j,(-0.9468068005507212+0j)
(-0.7470780636509466+0j),0.7470780636509466j,-0.6647363137451964j,(-0.6647363137451964+0j)
(-0.7927227318846982+0j),0.7927227318846982j,-0.6095823737225846j,(-0.6095823737225846+0j)
(-0.8495036039903965+0j),0.8495036039903965j,-0.5275828151175204j,(-0.5275828151175204+0j)
(-0.8676765271656769+0j),0.8676765271656769j,-0.49712920272873784j,(-0.49712920272873784+0j)
(-0.7916140429974143+0j),0.7916140429974143j,-0.6110214455559542j,(-0.6110214455559542+0j)
(-0.8041346782267693+0j),0.8041346782267693j,-0.5944471543149401j,(-0.5944471543149401+0j)
(-0.7241381851605707+0j),0.7241381851605707j,-0.6896549055813024j,(-0.6896549055813024+0j)
(-0.7508832786633183+0j),0.7508832786633183j,-0.6604349338305974j,(-0.6604349338305974+0j)
(-0.5253336108316111+0j),0.5253336108316111j,-0.8508963493461594j,(-0.8508963493461594+0j)
(-0.5771772219473574+0j),0.5771772219473574j,-0.8166189163037622j,(-0.8166189163037622+0j)
(-0.22099731176633838+0j),0.22099731176633838j,-0.9752744168653518j,(-0.9752744168653518+0j)
(-0.31765127502065255+0j),0.31765127502065255j,-0.9482076077936487j,(-0.9482076077936487+0j)
(-0.5859129505397777+0j),0.5859129505397777j,-0.8103739966150025j,(-0.8103739966150025+0j)
(-0.6131849067214985+0j),0.6131849067214985j,-0.789939409175759j,(-0.789939409175759+0j)
(-0.5107849027158168+0j),0.5107849027158168j,-0.8597085454720069j,(-0.8597085454720069+0j)
(-0.5303056630256753+0j),0.5303056630256753j,-0.8478065249589078j,(-0.8478065249589078+0j)
(-0.2106945151455521+0j),0.2106945151455521j,-0.9775519532421695j,(-0.9775519532421695+0j)
(-0.3045946601722417+0j),0.3045946601722417j,-0.9524820696446504j,(-0.9524820696446504+0j)
(-0.38294152498248274+0j),0.38294152498248274j,-0.9237725848086695j,(-0.9237725848086695+0j)
(-0.4008861697645014+0j),0.4008861697645014j,-0.9161278725655864j,(-0.9161278725655864+0j)
(-0.2933985066013019+0j),0.2933985066013019j,-0.9559902281530529j,(-0.9559902281530529+0j)
(-0.32205837063494397+0j),0.32205837063494397j,-0.9467198138329868j,(-0.9467198138329868+0j)
(-0.3794663204833147+0j),0.3794663204833147j,-0.9252055510095335j,(-0.9252055510095335+0j)
(-0.17294629477515264+0j),0.17294629477515264j,-0.9849312560394996j,(-0.9849312560394996+0j)
(-0.9396356632662596+0j),-0.9396356632662596j,0.34217659230019903j,(-0.34217659230019903+0j)
(-0.9090429075284899+0j),-0.9090429075284899j,0.4167025225171424j,(-0.4167025225171424+0j)
(-0.997991818623485+0j),0.997991818623485j,-0.06334295509833138j,(-0.06334295509833138+0j)
(-0.9994998204201339+0j),-0.9994998204201339j,0.031624499681740054j,(-0.031624499681740054+0j)
(-0.8872543759581273+0j),-0.8872543759581273j,0.4612804703682505j,(-0.4612804703682505+0j)
(-0.9018549499061027+0j),-0.9018549499061027j,0.43203894422825j,(-0.43203894422825+0j)
(-0.9502162209053425+0j),-0.9502162209053425j,0.31159129244632194j,(-0.31159129244632194+0j)
(-0.934929217372842+0j),-0.934929217372842j,0.35483426906459514j,(-0.35483426906459514+0j)
(-0.9982530755405409+0j),0.9982530755405409j,-0.059082968559909105j,(-0.059082968559909105+0j)
(-0.9994987865486613+0j),-0.9994987865486613j,0.03165715855464176j,(-0.03165715855464176+0j)
(-0.9940183622306401+0j),-0.9940183622306401j,0.10921307407227442j,(-0.10921307407227442+0j)
(-0.9915008127477722+0j),-0.9915008127477722j,0.13010049316012331j,(-0.13010049316012331+0j)
(-0.9996642334586365+0j),-0.9996642334586365j,0.02591178001521184j,(-0.02591178001521184+0j)
(-0.998826652362067+0j),-0.998826652362067j,0.04842848883856039j,(-0.04842848883856039+0j)
(-0.9959767421547735+0j),0.9959767421547735j,-0.08961210346132935j,(-0.08961210346132935+0j)
(-0.9982443090871213+0j),0.9982443090871213j,-0.05923089882127339j,(-0.05923089882127339+0j)
(-0.8552432191947225+0j),-0.8552432191947225j,0.5182268190874032j,(-0.5182268190874032+0j)
(-0.8606440243295841+0j),-0.8606440243295841j,0.509207092827445j,(-0.509207092827445+0j)
(-0.9485758121021934+0j),-0.9485758121021934j,0.31655004137523735j,(-0.31655004137523735+0j)
(-0.9322203448497228+0j),-0.9322203448497228j,0.3618911834353856j,(-0.3618911834353856+0j)
(-0.8335441471119518+0j),-0.8335441471119518j,0.5524528530249516j,(-0.5524528530249516+0j)
(-0.9266177714058593+0j),-0.9266177714058593j,0.37600466182593906j,(-0.37600466182593906+0j)
(-0.865535689345075+0j),-0.865535689345075j,0.5008472526329222j,(-0.5008472526329222+0j)
(-0.8499518217365571+0j),-0.8499518217365571j,0.5268604186373351j,(-0.5268604186373351+0j)
(-0.947658458125832+0j),-0.947658458125832j,0.3192858386188949j,(-0.3192858386188949+0j)
(-0.9316495437987387+0j),-0.9316495437987387j,0.36335812573768367j,(-0.36335812573768367+0j)
(-0.9169187094169704+0j),-0.9169187094169704j,0.39907402862265723j,(-0.39907402862265723+0j)
(-0.912696262021176+0j),-0.912696262021176j,0.4086386341164685j,(-0.4086386341164685+0j)
(-0.932505508263946+0j),-0.932505508263946j,0.36115575179886045j,(-0.36115575179886045+0j)
(-0.9285205774126157+0j),-0.9285205774126157j,0.3712809412309535j,(-0.3712809412309535+0j)
(-0.9550480008849552+0j),-0.9550480008849552j,0.29645120341407066j,(-0.29645120341407066+0j)
(-0.9471260043158842+0j),-0.9471260043158842j,0.3208618580458381j,(-0.3208618580458381+0j)
(-0.9984805955066055+0j),0.9984805955066055j,-0.05510444988178998j,(-0.05510444988178998+0j)
(-0.9994969266851023+0j),-0.9994969266851023j,0.03171582486764965j,(-0.03171582486764965+0j)
(-0.9945082981413726+0j),-0.9945082981413726j,0.10465775139926832j,(-0.10465775139926832+0j)
(-0.9924672577976063+0j),-0.9924672577976063j,0.12251017182136298j,(-0.12251017182136298+0j)
(-0.9996553121902757+0j),-0.9996553121902757j,0.02625370087744666j,(-0.02625370087744666+0j)
(-0.9988398195523144+0j),-0.9988398195523144j,0.048156150974723144j,(-0.048156150974723144+0j)
(-0.997001524467017+0j),0.997001524467017j,-0.07738191139048266j,(-0.07738191139048266+0j)
(-0.9984427213603041+0j),0.9984427213603041j,-0.05578648727631483j,(-0.05578648727631483+0j)
(-0.9943787929680921+0j),-0.9943787929680921j,0.1058811413582259j,(-0.1058811413582259+0j)
(-0.9920694302549433+0j),-0.9920694302549433j,0.12569107189308348j,(-0.12569107189308348+0j)
(-0.988173040019849+0j),-0.988173040019849j,0.15334289347058153j,(-0.15334289347058153+0j)
(-0.9866021699360725+0j),-0.9866021699360725j,0.16314459316027996j,(-0.16314459316027996+0j)
(-0.9921329248589409+0j),-0.9921329248589409j,0.1251888949182134j,(-0.1251888949182134+0j)
(-0.9913909229944718+0j),-0.9913909229944718j,0.13093524278882754j,(-0.13093524278882754+0j)
(-0.9953329279406714+0j),-0.9953329279406714j,0.09650058319538905j,(-0.09650058319538905+0j)
(-0.99420929284804+0j),-0.99420929284804j,0.1074610720893869j,(-0.1074610720893869+0j)
(-0.9997921185769659+0j),-0.9997921185769659j,0.020389203794708346j,(-0.020389203794708346+0j)
(-0.9991876878401795+0j),-0.9991876878401795j,0.0402984425083156j,(-0.0402984425083156+0j)
(-0.9969894052318314+0j),0.9969894052318314j,-0.07753789947812031j,(-0.07753789947812031+0j)
(-0.9981813473500221+0j),0.9981813473500221j,-0.06028264926572935j,(-0.06028264926572935+0j)
(-0.9990573497672114+0j),-0.9990573497672114j,0.04340981313154857j,(-0.04340981313154857+0j)
(-0.9985393148282922+0j),-0.9985393148282922j,0.0540299615236288j,(-0.0540299615236288+0j)
(-0.9998900269942147+0j),-0.9998900269942147j,0.014830169166562249j,(-0.014830169166562249+0j)
(-0.999752218093288+0j),-0.999752218093288j,0.022259883592488157j,(-0.022259883592488157+0j)
(-0.9962522057671575+0j),0.9962522057671575j,-0.08649591033149301j,(-0.08649591033149301+0j)
(-0.9977096206443766+0j),0.9977096206443766j,-0.06764253745724233j,(-0.06764253745724233+0j)
(-0.9993636064483589+0j),0.9993636064483589j,-0.035670465465559506j,(-0.035670465465559506+0j)
(-0.9995984183428265+0j),0.9995984183428265j,-0.028337290740640418j,(-0.028337290740640418+0j)
(-0.9973359082097096+0j),0.9973359082097096j,-0.07294577572083004j,(-0.07294577572083004+0j)
(-0.9981489077431407+0j),0.9981489077431407j,-0.06081741503200565j,(-0.06081741503200565+0j)
(-0.9999997666538178+0j),0.9999997666538178j,-0.0006831488199559598j,(-0.0006831488199559598+0j)
(-0.993887079736547+0j),0.993887079736547j,-0.11040141635304777j,(-0.11040141635304777+0j)
(-0.3300608492069645+0j),0.3300608492069645j,-0.9439596579413644j,(-0.9439596579413644+0j)
(-0.5590654615249857+0j),0.5590654615249857j,-0.8291235189824584j,(-0.8291235189824584+0j)
(-0.7350097895685708+0j),0.7350097895685708j,-0.6780564941347921j,(-0.6780564941347921+0j)
(-0.7698071154470337+0j),0.7698071154470337j,-0.6382765897376445j,(-0.6382765897376445+0j)
(-0.5471261486639334+0j),0.5471261486639334j,-0.8370501642363924j,(-0.8370501642363924+0j)
(-0.6029392889664709+0j),0.6029392889664709j,-0.7977870729841433j,(-0.7977870729841433+0j)
(-0.24232121854709238+0j),0.24232121854709238j,-0.970196076595784j,(-0.970196076595784+0j)
(-0.3375902979252772+0j),0.3375902979252772j,-0.9412931481460612j,(-0.9412931481460612+0j)
(-0.7375543765624746+0j),0.7375543765624746j,-0.675287747270406j,(-0.675287747270406+0j)
(-0.7759644022198935+0j),0.7759644022198935j,-0.6307767009707347j,(-0.6307767009707347+0j)
(-0.822185027794927+0j),0.822185027794927j,-0.5692203264728479j,(-0.5692203264728479+0j)
(-0.8364457594508323+0j),0.8364457594508323j,-0.5480497162636986j,(-0.5480497162636986+0j)
(-0.7751396394288743+0j),0.7751396394288743j,-0.6317899487852546j,(-0.6317899487852546+0j)
(-0.7854355656892342+0j),0.7854355656892342j,-0.6189434321086482j,(-0.6189434321086482+0j)
(-0.717654175496921+0j),0.717654175496921j,-0.6963996585236343j,(-0.6963996585236343+0j)
(-0.7408895498052643+0j),0.7408895498052643j,-0.6716268867379811j,(-0.6716268867379811+0j)
(-0.534547893395995+0j),0.534547893395995j,-0.8451381837699111j,(-0.8451381837699111+0j)
(-0.5840129832718212+0j),0.5840129832718212j,-0.8117443164999355j,(-0.8117443164999355+0j)
(-0.2531410697378707+0j),0.2531410697378707j,-0.96742937665339j,(-0.96742937665339+0j)
(-0.33289301645278485+0j),0.33289301645278485j,-0.9429646014548828j,(-0.9429646014548828+0j)
(-0.5924099099699741+0j),0.5924099099699741j,-0.8056367038370131j,(-0.8056367038370131+0j)
(-0.6175044927195185+0j),0.6175044927195185j,-0.7865673534232209j,(-0.7865673534232209+0j)
(-0.5204268721571856+0j),0.5204268721571856j,-0.8539062423572558j,(-0.8539062423572558+0j)
(-0.5393685726414335+0j),0.5393685726414335j,-0.8420697968973492j,(-0.8420697968973492+0j)
(-0.242368569897728+0j),0.242368569897728j,-0.970184248648539j,(-0.970184248648539+0j)
(-0.32003277114608686+0j),0.32003277114608686j,-0.94740647316374j,(-0.94740647316374+0j)
(-0.39515124528069445+0j),0.39515124528069445j,-0.9186160750569939j,(-0.9186160750569939+0j)
(-0.4126994824532623+0j),0.4126994824532623j,-0.9108672445437972j,(-0.9108672445437972+0j)
(-0.3093559374953259+0j),0.3093559374953259j,-0.9509463202181226j,(-0.9509463202181226+0j)
(-0.3364170859972508+0j),0.3364170859972508j,-0.9417130901973906j,(-0.9417130901973906+0j)
(-0.3988198883465194+0j),0.3988198883465194j,-0.9170292779727754j,(-0.9170292779727754+0j)
(-0.2070659242720054+0j),0.2070659242720054j,-0.9783269918618112j,(-0.9783269918618112+0j)
(-0.7407085403101569+0j),0.7407085403101569j,-0.6718265090866814j,(-0.6718265090866814+0j)
(-0.7830747612955512+0j),0.7830747612955512j,-0.6219275827794711j,(-0.6219275827794711+0j)
(-0.8374853577265734+0j),0.8374853577265734j,-0.5464597657591945j,(-0.5464597657591945+0j)
(-0.8518129264015143+0j),0.8518129264015143j,-0.5238461018422189j,(-0.5238461018422189+0j)
(-0.7819967977659482+0j),0.7819967977659482j,-0.623282446635394j,(-0.623282446635394+0j)
(-0.794354749684246+0j),0.794354749684246j,-0.6074541395480642j,(-0.6074541395480642+0j)
(-0.7225149749340649+0j),0.7225149749340649j,-0.6913552711855372j,(-0.6913552711855372+0j)
(-0.7438485270851956+0j),0.7438485270851956j,-0.6683482391337506j,(-0.6683482391337506+0j)
(-0.8386527172697948+0j),0.8386527172697948j,-0.5446665216588862j,(-0.5446665216588862+0j)
(-0.8562191670592154+0j),0.8562191670592154j,-0.5166127543532228j,(-0.5166127543532228+0j)
(-0.8776632932645994+0j),0.8776632932645994j,-0.47927773123309014j,(-0.47927773123309014+0j)
(-0.8795229532302011+0j),0.8795229532302011j,-0.4758564644314773j,(-0.4758564644314773+0j)
(-0.8563317899398472+0j),0.8563317899398472j,-0.5164260504064618j,(-0.5164260504064618+0j)
