(-0.9058726938995593+0j),0.9058726938995593j,-0.4235500707675014j,(-0.4235500707675014+0j)
(-0.9941014717278974+0j),0.9941014717278974j,-0.10845397138154358j,(-0.10845397138154358+0j)
(-0.6167789211412679+0j),0.6167789211412679j,-0.7871364319073372j,(-0.7871364319073372+0j)
(-0.7865859621097416+0j),0.7865859621097416j,-0.61748078853669j,(-0.61748078853669+0j)
(-0.6053213423880219+0j),-0.6053213423880219j,0.7959812010654291j,(-0.7959812010654291+0j)
(-0.3637187616777516+0j),-0.3637187616777516j,0.9315088096221114j,(-0.9315088096221114+0j)
(-0.8647890712468469+0j),-0.8647890712468469j,0.5021353027342491j,(-0.5021353027342491+0j)
(-0.7445441100782481+0j),-0.7445441100782481j,0.6675732679996929j,(-0.6675732679996929+0j)
(-0.9915551732548019+0j),0.9915551732548019j,-0.1296855365553154j,(-0.1296855365553154+0j)
(-0.7687506150149968+0j),0.7687506150149968j,-0.6395486626630253j,(-0.6395486626630253+0j)
(-0.9799815806236345+0j),0.9799815806236345j,-0.19908817553637628j,(-0.19908817553637628+0j)
(-0.9839197049731558+0j),0.9839197049731558j,-0.17861134948691781j,(-0.17861134948691781+0j)
(-0.9698045657276397+0j),0.9698045657276397j,-0.24388338257008096j,(-0.24388338257008096+0j)
(-0.9719563596530977+0j),0.9719563596530977j,-0.23516129556093754j,(-0.23516129556093754+0j)
(-0.9649154422120141+0j),0.9649154422120141j,-0.26256082986765816j,(-0.26256082986765816+0j)
(-0.9678893998289475+0j),0.9678893998289475j,-0.2513764302769054j,(-0.2513764302769054+0j)
(-0.6214648894224889+0j),0.6214648894224889j,-0.7834420152219908j,(-0.7834420152219908+0j)
(-0.7692763065491276+0j),0.7692763065491276j,-0.6389162419144881j,(-0.6389162419144881+0j)
(-0.8604230669446665+0j),0.8604230669446665j,-0.5095803625234533j,(-0.5095803625234533+0j)
(-0.942869057554025+0j),0.942869057554025j,-0.33316353387966213j,(-0.33316353387966213+0j)
(-0.8096891093346169+0j),0.8096891093346169j,-0.5868590514126156j,(-0.5868590514126156+0j)
(-0.8150771499404785+0j),0.8150771499404785j,-0.5793524312928243j,(-0.5793524312928243+0j)
(-0.8011281726824403+0j),0.8011281726824403j,-0.5984928161093449j,(-0.5984928161093449+0j)
(-0.8058501941734334+0j),0.8058501941734334j,-0.5921194681402056j,(-0.5921194681402056+0j)
(-0.7667316548764642+0j),0.7667316548764642j,-0.6419677323747656j,(-0.6419677323747656+0j)
(-0.9228851434358574+0j),0.9228851434358574j,-0.38507533292250407j,(-0.38507533292250407+0j)
(-0.7562066396278161+0j),0.7562066396278161j,-0.6543328802550017j,(-0.6543328802550017+0j)
(-0.7597370347149534+0j),0.7597370347149534j,-0.6502304499810276j,(-0.6502304499810276+0j)
(-0.7467199167636092+0j),0.7467199167636092j,-0.6651386065389293j,(-0.6651386065389293+0j)
(-0.7487951757724591+0j),0.7487951757724591j,-0.662801467062266j,(-0.662801467062266+0j)
(-0.7418119471371355+0j),0.7418119471371355j,-0.6706079593060402j,(-0.6706079593060402+0j)
(-0.7448315735777503+0j),0.7448315735777503j,-0.6672525211654823j,(-0.6672525211654823+0j)
