(-0.9964635679582785+0j),-0.9964635679582785j,0.08402593487642572j,(-0.08402593487642572+0j)
(-0.0999975883043793+0j),-0.0999975883043793j,0.9949876794881974j,(-0.9949876794881974+0j)
(-0.9411819643162067+0j),0.9411819643162067j,-0.3379001480406406j,(-0.3379001480406406+0j)
(-0.9782758816855608+0j),0.9782758816855608j,-0.2073072582239681j,(-0.2073072582239681+0j)
(-0.801254799847045+0j),0.801254799847045j,-0.5983232786061998j,(-0.5983232786061998+0j)
(-0.8335216847204115+0j),0.8335216847204115j,-0.5524867429186395j,(-0.5524867429186395+0j)
(-0.7274684593246021+0j),0.7274684593246021j,-0.6861411230117969j,(-0.6861411230117969+0j)
(-0.7722661184664781+0j),0.7722661184664781j,-0.6352991754037778j,(-0.6352991754037778+0j)
(-0.19895620130278777+0j),-0.19895620130278777j,0.9800083825984167j,(-0.9800083825984167+0j)
(-0.9736272282900578+0j),0.9736272282900578j,-0.2281447354909156j,(-0.2281447354909156+0j)
(-0.542132102275078+0j),-0.542132102275078j,0.840293272425053j,(-0.840293272425053+0j)
(-0.44253001810852505+0j),-0.44253001810852505j,0.8967536914185906j,(-0.8967536914185906+0j)
(-0.7309363810311211+0j),-0.7309363810311211j,0.6824456072722044j,(-0.6824456072722044+0j)
(-0.6982891884125417+0j),-0.6982891884125417j,0.7158157649466473j,(-0.7158157649466473+0j)
(-0.7932142741203947+0j),-0.7932142741203947j,0.6089426207218996j,(-0.6089426207218996+0j)
(-0.7571864922562276+0j),-0.7571864922562276j,0.6531987568456558j,(-0.6531987568456558+0j)
(-0.9420106022480256+0j),0.9420106022480256j,-0.3355831122871242j,(-0.3355831122871242+0j)
(-0.9737619688766476+0j),0.9737619688766476j,-0.22756895212105532j,(-0.22756895212105532+0j)
(-0.9971036632594843+0j),0.9971036632594843j,-0.07605448517028396j,(-0.07605448517028396+0j)
(-0.940113259958238+0j),-0.940113259958238j,0.3408622279612313j,(-0.3408622279612313+0j)
(-0.984469725010113+0j),0.984469725010113j,-0.17555443753580402j,(-0.17555443753580402+0j)
(-0.985922873395835+0j),0.985922873395835j,-0.16720074077258354j,(-0.16720074077258354+0j)
(-0.9821613016025754+0j),0.9821613016025754j,-0.1880403617161359j,(-0.1880403617161359+0j)
(-0.9834337903895451+0j),0.9834337903895451j,-0.18126770236325096j,(-0.18126770236325096+0j)
(-0.9731111344457535+0j),0.9731111344457535j,-0.23033610228902227j,(-0.23033610228902227+0j)
(-0.9836136726925082+0j),-0.9836136726925082j,0.18028905372305812j,(-0.18028905372305812+0j)
(-0.9704575283844997+0j),0.9704575283844997j,-0.2412720157868458j,(-0.2412720157868458+0j)
(-0.9713406038210786+0j),0.9713406038210786j,-0.23769188326171922j,(-0.23769188326171922+0j)
(-0.9681207127726521+0j),0.9681207127726521j,-0.25048410229108836j,(-0.25048410229108836+0j)
(-0.968627348499972+0j),0.968627348499972j,-0.2485177251986546j,(-0.2485177251986546+0j)
(-0.9669327641048405+0j),0.9669327641048405j,-0.25503142884862834j,(-0.25503142884862834+0j)
(-0.9676619422485058+0j),0.9676619422485058j,-0.25225060064120736j,(-0.25225060064120736+0j)
(-0.7847668823870431+0j),0.7847668823870431j,-0.6197910456827534j,(-0.6197910456827534+0j)
(-0.8208403084797821+0j),0.8208403084797821j,-0.571157761021258j,(-0.571157761021258+0j)
(-0.7119045441165095+0j),0.7119045441165095j,-0.7022762419918993j,(-0.7022762419918993+0j)
(-0.7546642384325983+0j),0.7546642384325983j,-0.6561111851134276j,(-0.6561111851134276+0j)
(-0.9645197429444003+0j),0.9645197429444003j,-0.26401072983965646j,(-0.26401072983965646+0j)
(-0.9849806006470785+0j),-0.9849806006470785j,0.17266504089977466j,(-0.17266504089977466+0j)
(-0.8937702302018372+0j),0.8937702302018372j,-0.44852511145414714j,(-0.44852511145414714+0j)
(-0.9263521130070745+0j),0.9263521130070745j,-0.37665868200179403j,(-0.37665868200179403+0j)
(-0.8186031487077374+0j),0.8186031487077374j,-0.5743595432529857j,(-0.5743595432529857+0j)
(-0.7503764827307654+0j),0.7503764827307654j,-0.6610106914147496j,(-0.6610106914147496+0j)
(-0.811186224366345+0j),0.811186224366345j,-0.5847879183073759j,(-0.5847879183073759+0j)
(-0.8133949490313065+0j),0.8133949490313065j,-0.5817118332046879j,(-0.5817118332046879+0j)
(-0.8062752902538656+0j),0.8062752902538656j,-0.5915404942402885j,(-0.5915404942402885+0j)
(-0.807241122232247+0j),0.807241122232247j,-0.5902217977821749j,(-0.5902217977821749+0j)
(-0.8041892668439887+0j),0.8041892668439887j,-0.5943733028097142j,(-0.5943733028097142+0j)
(-0.8054414231411025+0j),0.8054414231411025j,-0.5926753866058856j,(-0.5926753866058856+0j)
(-0.7131874454420803+0j),0.7131874454420803j,-0.7009733715796912j,(-0.7009733715796912+0j)
(-0.7505029537455343+0j),0.7505029537455343j,-0.6608670943686245j,(-0.6608670943686245+0j)
(-0.7727213853500123+0j),0.7727213853500123j,-0.634745351005234j,(-0.634745351005234+0j)
(-0.7960394524003768+0j),0.7960394524003768j,-0.6052447358070191j,(-0.6052447358070191+0j)
(-0.7602294189474632+0j),0.7602294189474632j,-0.6496547010272478j,(-0.6496547010272478+0j)
(-0.7615332671900213+0j),0.7615332671900213j,-0.6481258234038293j,(-0.6481258234038293+0j)
(-0.7581634859128419+0j),0.7581634859128419j,-0.6520645126277675j,(-0.6520645126277675+0j)
(-0.7593022495291443+0j),0.7593022495291443j,-0.6507381146513407j,(-0.6507381146513407+0j)
(-0.7498906590719366+0j),0.7498906590719366j,-0.6615617880717238j,(-0.6615617880717238+0j)
(-0.7897050406284746+0j),0.7897050406284746j,-0.6134867144494486j,(-0.6134867144494486+0j)
(-0.7473545905666584+0j),0.7473545905666584j,-0.6644254028549348j,(-0.6644254028549348+0j)
(-0.7482060061567818+0j),0.7482060061567818j,-0.6634664817086979j,(-0.6634664817086979+0j)
(-0.7450618616933429+0j),0.7450618616933429j,-0.6669953689869593j,(-0.6669953689869593+0j)
(-0.7455640829586901+0j),0.7455640829586901j,-0.6664339413640091j,(-0.6664339413640091+0j)
(-0.7438723891412073+0j),0.7438723891412073j,-0.6683216805351688j,(-0.6683216805351688+0j)
(-0.7446045081035366+0j),0.7446045081035366j,-0.6675058999828318j,(-0.6675058999828318+0j)
